date,location,value
2020-02-01,01,0
2020-02-01,02,0
2020-02-01,04,0
2020-02-01,05,0
2020-02-01,06,0
2020-02-01,08,0
2020-02-01,09,0
2020-02-01,10,0
2020-02-01,11,0
2020-02-01,12,0
2020-02-01,13,0
2020-02-01,15,0
2020-02-01,16,0
2020-02-01,17,0
2020-02-01,18,0
2020-02-01,19,0
2020-02-01,20,0
2020-02-01,21,0
2020-02-01,22,0
2020-02-01,23,0
2020-02-01,24,0
2020-02-01,25,0
2020-02-01,26,0
2020-02-01,27,0
2020-02-01,28,0
2020-02-01,29,0
2020-02-01,30,0
2020-02-01,31,0
2020-02-01,32,0
2020-02-01,33,0
2020-02-01,34,0
2020-02-01,35,0
2020-02-01,36,0
2020-02-01,37,0
2020-02-01,38,0
2020-02-01,39,0
2020-02-01,40,0
2020-02-01,41,0
2020-02-01,42,0
2020-02-01,44,0
2020-02-01,45,0
2020-02-01,46,0
2020-02-01,47,0
2020-02-01,48,0
2020-02-01,49,0
2020-02-01,50,0
2020-02-01,51,0
2020-02-01,53,0
2020-02-01,54,0
2020-02-01,55,0
2020-02-01,56,0
2020-02-01,60,0
2020-02-01,66,0
2020-02-01,69,0
2020-02-01,72,0
2020-02-01,78,0
2020-02-01,US,0
2020-02-08,01,0
2020-02-08,02,0
2020-02-08,04,0
2020-02-08,05,0
2020-02-08,06,0
2020-02-08,08,0
2020-02-08,09,0
2020-02-08,10,0
2020-02-08,11,0
2020-02-08,12,0
2020-02-08,13,0
2020-02-08,15,0
2020-02-08,16,0
2020-02-08,17,0
2020-02-08,18,0
2020-02-08,19,0
2020-02-08,20,0
2020-02-08,21,0
2020-02-08,22,0
2020-02-08,23,0
2020-02-08,24,0
2020-02-08,25,0
2020-02-08,26,0
2020-02-08,27,0
2020-02-08,28,0
2020-02-08,29,0
2020-02-08,30,0
2020-02-08,31,0
2020-02-08,32,0
2020-02-08,33,0
2020-02-08,34,0
2020-02-08,35,0
2020-02-08,36,0
2020-02-08,37,0
2020-02-08,38,0
2020-02-08,39,0
2020-02-08,40,0
2020-02-08,41,0
2020-02-08,42,0
2020-02-08,44,0
2020-02-08,45,0
2020-02-08,46,0
2020-02-08,47,0
2020-02-08,48,0
2020-02-08,49,0
2020-02-08,50,0
2020-02-08,51,0
2020-02-08,53,0
2020-02-08,54,0
2020-02-08,55,0
2020-02-08,56,0
2020-02-08,60,0
2020-02-08,66,0
2020-02-08,69,0
2020-02-08,72,0
2020-02-08,78,0
2020-02-08,US,0
2020-02-15,01,0
2020-02-15,02,0
2020-02-15,04,0
2020-02-15,05,0
2020-02-15,06,0
2020-02-15,08,0
2020-02-15,09,0
2020-02-15,10,0
2020-02-15,11,0
2020-02-15,12,0
2020-02-15,13,0
2020-02-15,15,0
2020-02-15,16,0
2020-02-15,17,0
2020-02-15,18,0
2020-02-15,19,0
2020-02-15,20,0
2020-02-15,21,0
2020-02-15,22,0
2020-02-15,23,0
2020-02-15,24,0
2020-02-15,25,0
2020-02-15,26,0
2020-02-15,27,0
2020-02-15,28,0
2020-02-15,29,0
2020-02-15,30,0
2020-02-15,31,0
2020-02-15,32,0
2020-02-15,33,0
2020-02-15,34,0
2020-02-15,35,0
2020-02-15,36,0
2020-02-15,37,0
2020-02-15,38,0
2020-02-15,39,0
2020-02-15,40,0
2020-02-15,41,0
2020-02-15,42,0
2020-02-15,44,0
2020-02-15,45,0
2020-02-15,46,0
2020-02-15,47,0
2020-02-15,48,0
2020-02-15,49,0
2020-02-15,50,0
2020-02-15,51,0
2020-02-15,53,0
2020-02-15,54,0
2020-02-15,55,0
2020-02-15,56,0
2020-02-15,60,0
2020-02-15,66,0
2020-02-15,69,0
2020-02-15,72,0
2020-02-15,78,0
2020-02-15,US,0
2020-02-22,01,0
2020-02-22,02,0
2020-02-22,04,0
2020-02-22,05,0
2020-02-22,06,0
2020-02-22,08,0
2020-02-22,09,0
2020-02-22,10,0
2020-02-22,11,0
2020-02-22,12,0
2020-02-22,13,0
2020-02-22,15,0
2020-02-22,16,0
2020-02-22,17,0
2020-02-22,18,0
2020-02-22,19,0
2020-02-22,20,0
2020-02-22,21,0
2020-02-22,22,0
2020-02-22,23,0
2020-02-22,24,0
2020-02-22,25,0
2020-02-22,26,0
2020-02-22,27,0
2020-02-22,28,0
2020-02-22,29,0
2020-02-22,30,0
2020-02-22,31,0
2020-02-22,32,0
2020-02-22,33,0
2020-02-22,34,0
2020-02-22,35,0
2020-02-22,36,0
2020-02-22,37,0
2020-02-22,38,0
2020-02-22,39,0
2020-02-22,40,0
2020-02-22,41,0
2020-02-22,42,0
2020-02-22,44,0
2020-02-22,45,0
2020-02-22,46,0
2020-02-22,47,0
2020-02-22,48,0
2020-02-22,49,0
2020-02-22,50,0
2020-02-22,51,0
2020-02-22,53,0
2020-02-22,54,0
2020-02-22,55,0
2020-02-22,56,0
2020-02-22,60,0
2020-02-22,66,0
2020-02-22,69,0
2020-02-22,72,0
2020-02-22,78,0
2020-02-22,US,0
2020-02-29,01,0
2020-02-29,02,0
2020-02-29,04,0
2020-02-29,05,0
2020-02-29,06,0
2020-02-29,08,0
2020-02-29,09,0
2020-02-29,10,0
2020-02-29,11,0
2020-02-29,12,0
2020-02-29,13,0
2020-02-29,15,0
2020-02-29,16,0
2020-02-29,17,0
2020-02-29,18,0
2020-02-29,19,0
2020-02-29,20,0
2020-02-29,21,0
2020-02-29,22,0
2020-02-29,23,0
2020-02-29,24,0
2020-02-29,25,0
2020-02-29,26,0
2020-02-29,27,0
2020-02-29,28,0
2020-02-29,29,0
2020-02-29,30,0
2020-02-29,31,0
2020-02-29,32,0
2020-02-29,33,0
2020-02-29,34,0
2020-02-29,35,0
2020-02-29,36,0
2020-02-29,37,0
2020-02-29,38,0
2020-02-29,39,0
2020-02-29,40,0
2020-02-29,41,0
2020-02-29,42,0
2020-02-29,44,0
2020-02-29,45,0
2020-02-29,46,0
2020-02-29,47,0
2020-02-29,48,0
2020-02-29,49,0
2020-02-29,50,0
2020-02-29,51,0
2020-02-29,53,1
2020-02-29,54,0
2020-02-29,55,0
2020-02-29,56,0
2020-02-29,60,0
2020-02-29,66,0
2020-02-29,69,0
2020-02-29,72,0
2020-02-29,78,0
2020-02-29,US,1
2020-03-07,01,0
2020-03-07,02,0
2020-03-07,04,0
2020-03-07,05,0
2020-03-07,06,1
2020-03-07,08,0
2020-03-07,09,0
2020-03-07,10,0
2020-03-07,11,0
2020-03-07,12,0
2020-03-07,13,0
2020-03-07,15,0
2020-03-07,16,0
2020-03-07,17,0
2020-03-07,18,0
2020-03-07,19,0
2020-03-07,20,0
2020-03-07,21,0
2020-03-07,22,0
2020-03-07,23,0
2020-03-07,24,0
2020-03-07,25,0
2020-03-07,26,0
2020-03-07,27,0
2020-03-07,28,0
2020-03-07,29,0
2020-03-07,30,0
2020-03-07,31,0
2020-03-07,32,0
2020-03-07,33,0
2020-03-07,34,0
2020-03-07,35,0
2020-03-07,36,0
2020-03-07,37,0
2020-03-07,38,0
2020-03-07,39,0
2020-03-07,40,0
2020-03-07,41,0
2020-03-07,42,0
2020-03-07,44,0
2020-03-07,45,0
2020-03-07,46,0
2020-03-07,47,0
2020-03-07,48,0
2020-03-07,49,0
2020-03-07,50,0
2020-03-07,51,0
2020-03-07,53,15
2020-03-07,54,0
2020-03-07,55,0
2020-03-07,56,0
2020-03-07,60,0
2020-03-07,66,0
2020-03-07,69,0
2020-03-07,72,0
2020-03-07,78,0
2020-03-07,US,16
2020-03-14,01,0
2020-03-14,02,0
2020-03-14,04,0
2020-03-14,05,0
2020-03-14,06,2
2020-03-14,08,2
2020-03-14,09,0
2020-03-14,10,0
2020-03-14,11,0
2020-03-14,12,2
2020-03-14,13,1
2020-03-14,15,0
2020-03-14,16,0
2020-03-14,17,0
2020-03-14,18,0
2020-03-14,19,0
2020-03-14,20,1
2020-03-14,21,0
2020-03-14,22,1
2020-03-14,23,0
2020-03-14,24,0
2020-03-14,25,0
2020-03-14,26,1
2020-03-14,27,0
2020-03-14,28,0
2020-03-14,29,0
2020-03-14,30,0
2020-03-14,31,0
2020-03-14,32,0
2020-03-14,33,0
2020-03-14,34,1
2020-03-14,35,0
2020-03-14,36,5
2020-03-14,37,0
2020-03-14,38,0
2020-03-14,39,0
2020-03-14,40,0
2020-03-14,41,0
2020-03-14,42,0
2020-03-14,44,0
2020-03-14,45,0
2020-03-14,46,1
2020-03-14,47,0
2020-03-14,48,0
2020-03-14,49,0
2020-03-14,50,0
2020-03-14,51,1
2020-03-14,53,23
2020-03-14,54,0
2020-03-14,55,0
2020-03-14,56,0
2020-03-14,60,0
2020-03-14,66,0
2020-03-14,69,0
2020-03-14,72,0
2020-03-14,78,0
2020-03-14,US,41
2020-03-21,01,0
2020-03-21,02,0
2020-03-21,04,1
2020-03-21,05,0
2020-03-21,06,22
2020-03-21,08,4
2020-03-21,09,4
2020-03-21,10,0
2020-03-21,11,0
2020-03-21,12,11
2020-03-21,13,19
2020-03-21,15,0
2020-03-21,16,0
2020-03-21,17,6
2020-03-21,18,4
2020-03-21,19,0
2020-03-21,20,1
2020-03-21,21,3
2020-03-21,22,19
2020-03-21,23,0
2020-03-21,24,2
2020-03-21,25,1
2020-03-21,26,5
2020-03-21,27,1
2020-03-21,28,1
2020-03-21,29,3
2020-03-21,30,0
2020-03-21,31,0
2020-03-21,32,2
2020-03-21,33,0
2020-03-21,34,21
2020-03-21,35,0
2020-03-21,36,190
2020-03-21,37,0
2020-03-21,38,0
2020-03-21,39,3
2020-03-21,40,1
2020-03-21,41,4
2020-03-21,42,2
