"target_end_date","location","target","quantile","truth","value","model","window_size"
2020-11-21,"01","1 wk ahead inc case",0.025,14865,7752.33662697521,"EWA",4
2020-11-21,"01","1 wk ahead inc case",0.1,14865,9435.87815288375,"EWA",4
2020-11-21,"01","1 wk ahead inc case",0.25,14865,11029.7504754589,"EWA",4
2020-11-21,"01","1 wk ahead inc case",0.5,14865,12676.5986728134,"EWA",4
2020-11-21,"01","1 wk ahead inc case",0.75,14865,14478.2594117671,"EWA",4
2020-11-21,"01","1 wk ahead inc case",0.9,14865,16274.3993403262,"EWA",4
2020-11-21,"01","1 wk ahead inc case",0.975,14865,18361.3110477685,"EWA",4
2020-11-21,"02","1 wk ahead inc case",0.025,4080,2403.14358904496,"EWA",4
2020-11-21,"02","1 wk ahead inc case",0.1,4080,2904.97879511011,"EWA",4
2020-11-21,"02","1 wk ahead inc case",0.25,4080,3315.43695097955,"EWA",4
2020-11-21,"02","1 wk ahead inc case",0.5,4080,3754.12789000996,"EWA",4
2020-11-21,"02","1 wk ahead inc case",0.75,4080,4196.07917216075,"EWA",4
2020-11-21,"02","1 wk ahead inc case",0.9,4080,4691.584002451,"EWA",4
2020-11-21,"02","1 wk ahead inc case",0.975,4080,5243.97184472393,"EWA",4
2020-11-21,"04","1 wk ahead inc case",0.025,22281,9791.74894943877,"EWA",4
2020-11-21,"04","1 wk ahead inc case",0.1,22281,11448.5753770399,"EWA",4
2020-11-21,"04","1 wk ahead inc case",0.25,22281,13497.2534446387,"EWA",4
2020-11-21,"04","1 wk ahead inc case",0.5,22281,15439.7743239605,"EWA",4
2020-11-21,"04","1 wk ahead inc case",0.75,22281,18133.2021456705,"EWA",4
2020-11-21,"04","1 wk ahead inc case",0.9,22281,21431.9687870078,"EWA",4
2020-11-21,"04","1 wk ahead inc case",0.975,22281,25077.540044264,"EWA",4
2020-11-21,"05","1 wk ahead inc case",0.025,11655,6951.36598163683,"EWA",4
2020-11-21,"05","1 wk ahead inc case",0.1,11655,8229.06767955154,"EWA",4
2020-11-21,"05","1 wk ahead inc case",0.25,11655,9295.64338076226,"EWA",4
2020-11-21,"05","1 wk ahead inc case",0.5,11655,10482.0674916996,"EWA",4
2020-11-21,"05","1 wk ahead inc case",0.75,11655,11720.2030421857,"EWA",4
2020-11-21,"05","1 wk ahead inc case",0.9,11655,12919.646253985,"EWA",4
2020-11-21,"05","1 wk ahead inc case",0.975,11655,14556.3293879887,"EWA",4
2020-11-21,"06","1 wk ahead inc case",0.025,85088,37785.4186494038,"EWA",4
2020-11-21,"06","1 wk ahead inc case",0.1,85088,44785.3922752791,"EWA",4
2020-11-21,"06","1 wk ahead inc case",0.25,85088,50360.6233655471,"EWA",4
2020-11-21,"06","1 wk ahead inc case",0.5,85088,57095.2783518483,"EWA",4
2020-11-21,"06","1 wk ahead inc case",0.75,85088,63406.9486352628,"EWA",4
2020-11-21,"06","1 wk ahead inc case",0.9,85088,70295.8781310072,"EWA",4
2020-11-21,"06","1 wk ahead inc case",0.975,85088,78864.0929409036,"EWA",4
2020-11-21,"08","1 wk ahead inc case",0.025,35445,29451.4822029157,"EWA",4
2020-11-21,"08","1 wk ahead inc case",0.1,35445,33116.508505628,"EWA",4
