"quantile","target_end_date","location","target","truth","value","model","window_size"
0.01,2020-08-29,"01","1 wk ahead cum death",2152,2061.03918390544,"QNA3",4
0.01,2020-08-29,"39","1 wk ahead cum death",4126,4055.29218556118,"QNA3",4
0.01,2020-08-29,"42","1 wk ahead cum death",7656,7612.10624341035,"QNA3",4
0.01,2020-08-29,"25","1 wk ahead cum death",9036,8944.69516324342,"QNA3",4
0.01,2020-08-29,"21","1 wk ahead cum death",921,904.011043674945,"QNA3",4
0.01,2020-08-29,"US","1 wk ahead cum death",183021,181433.332138247,"QNA3",4
0.01,2020-08-29,"04","1 wk ahead cum death",5007,4909.746474701,"QNA3",4
0.01,2020-08-29,"41","1 wk ahead cum death",454,428.15905129157,"QNA3",4
0.01,2020-08-29,"37","1 wk ahead cum death",2683,2630.76136777652,"QNA3",4
0.01,2020-08-29,"56","1 wk ahead cum death",37,37.2168695226555,"QNA3",4
0.01,2020-08-29,"23","1 wk ahead cum death",132,131.000945249687,"QNA3",4
0.01,2020-08-29,"16","1 wk ahead cum death",358,323.497423624219,"QNA3",4
0.01,2020-08-29,"55","1 wk ahead cum death",1178,1102.44456018882,"QNA3",4
0.01,2020-08-29,"26","1 wk ahead cum death",6712,6679.56001579847,"QNA3",4
0.01,2020-08-29,"22","1 wk ahead cum death",4904,4816.08126912554,"QNA3",4
0.01,2020-08-29,"32","1 wk ahead cum death",1302,1268.64801012531,"QNA3",4
0.01,2020-08-29,"05","1 wk ahead cum death",772,724.994874458015,"QNA3",4
0.01,2020-08-29,"09","1 wk ahead cum death",4465,4461.29456050317,"QNA3",4
0.01,2020-08-29,"38","1 wk ahead cum death",141,139.046609453093,"QNA3",4
0.01,2020-08-29,"49","1 wk ahead cum death",407,391.610908365113,"QNA3",4
0.01,2020-08-29,"24","1 wk ahead cum death",3746,3710.80573641613,"QNA3",4
0.01,2020-08-29,"27","1 wk ahead cum death",1863,1836.06638070635,"QNA3",4
0.01,2020-08-29,"45","1 wk ahead cum death",2698,2621.10295123805,"QNA3",4
0.01,2020-08-29,"02","1 wk ahead cum death",37,32.0250346195363,"QNA3",4
0.01,2020-08-29,"40","1 wk ahead cum death",797,763.14020724932,"QNA3",4
0.01,2020-08-29,"44","1 wk ahead cum death",1046,1030.70923011355,"QNA3",4
0.01,2020-08-29,"06","1 wk ahead cum death",12894,12862.160387231,"QNA3",4
0.01,2020-08-29,"10","1 wk ahead cum death",604,600.241380881922,"QNA3",4
0.01,2020-08-29,"47","1 wk ahead cum death",1725,1677.54978444365,"QNA3",4
0.01,2020-08-29,"50","1 wk ahead cum death",58,57.9832685266375,"QNA3",4
0.01,2020-08-29,"15","1 wk ahead cum death",62,47.0221306409112,"QNA3",4
0.01,2020-08-29,"28","1 wk ahead cum death",2427,2336.45885824359,"QNA3",4
0.01,2020-08-29,"46","1 wk ahead cum death",167,160.382110583172,"QNA3",4
0.01,2020-08-29,"13","1 wk ahead cum death",5576,5400.58080317708,"QNA3",4
0.01,2020-08-29,"17","1 wk ahead cum death",8217,8170.77254382275,"QNA3",4
0.01,2020-08-29,"34","1 wk ahead cum death",15933,15956.8469144286,"QNA3",4
0.01,2020-08-29,"08","1 wk ahead cum death",1942,1928.91053885359,"QNA3",4
0.01,2020-08-29,"30","1 wk ahead cum death",104,90.9370316114015,"QNA3",4
0.01,2020-08-29,"33","1 wk ahead cum death",432,429.525783808503,"QNA3",4
0.01,2020-08-29,"51","1 wk ahead cum death",2568,2482.21670956957,"QNA3",4
0.01,2020-08-29,"18","1 wk ahead cum death",3285,3274.16860305797,"QNA3",4
0.01,2020-08-29,"29","1 wk ahead cum death",1528,1481.45251690977,"QNA3",4
0.01,2020-08-29,"36","1 wk ahead cum death",32891,32896.4676697764,"QNA3",4
0.01,2020-08-29,"31","1 wk ahead cum death",392,379.588144276841,"QNA3",4
0.01,2020-08-29,"20","1 wk ahead cum death",449,432.493770160099,"QNA3",4
0.01,2020-08-29,"35","1 wk ahead cum death",769,759.725916093279,"QNA3",4
