"target_end_date","location","target","quantile","truth","value","model","window_size"
2020-08-29,"01","1 wk ahead cum death",0.01,2152,2050.33020882921,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.025,2152,2058.88684572778,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.05,2152,2065.73263889418,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.1,2152,2073.7636820492,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.15,2152,2079.58076398488,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.2,2152,2084.3092855783,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.25,2152,2088.35878801759,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.3,2152,2092.29917935802,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.35,2152,2096.03653596287,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.4,2152,2098.98910752297,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.45,2152,2102.36345797166,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.5,2152,2105.61340926449,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.55,2152,2109.01881157874,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.6,2152,2112.6271897385,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.65,2152,2115.99471376764,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.7,2152,2120.08455440667,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.75,2152,2124.84544762379,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.8,2152,2129.67075465782,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.85,2152,2135.30421519589,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.9,2152,2142.10680627023,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.95,2152,2153.80048637428,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.975,2152,2163.71884795462,"V3_iter",4
2020-08-29,"01","1 wk ahead cum death",0.99,2152,2176.76057825893,"V3_iter",4
2020-08-29,"02","1 wk ahead cum death",0.01,37,32.2897695466351,"V3_iter",4
2020-08-29,"02","1 wk ahead cum death",0.025,37,32.542318854789,"V3_iter",4
