date,location,location_name,value
2020-01-22,01,Alabama,0.0
2020-01-22,02,Alaska,0.0
2020-01-22,04,Arizona,0.0
2020-01-22,05,Arkansas,0.0
2020-01-22,06,California,0.0
2020-01-22,08,Colorado,0.0
2020-01-22,09,Connecticut,0.0
2020-01-22,10,Delaware,0.0
2020-01-22,11,District of Columbia,0.0
2020-01-22,12,Florida,0.0
2020-01-22,13,Georgia,0.0
2020-01-22,15,Hawaii,0.0
2020-01-22,16,Idaho,0.0
2020-01-22,17,Illinois,0.0
2020-01-22,18,Indiana,0.0
2020-01-22,19,Iowa,0.0
2020-01-22,20,Kansas,0.0
2020-01-22,21,Kentucky,0.0
2020-01-22,22,Louisiana,0.0
2020-01-22,23,Maine,0.0
2020-01-22,24,Maryland,0.0
2020-01-22,25,Massachusetts,0.0
2020-01-22,26,Michigan,0.0
2020-01-22,27,Minnesota,0.0
2020-01-22,28,Mississippi,0.0
2020-01-22,29,Missouri,0.0
2020-01-22,30,Montana,0.0
2020-01-22,31,Nebraska,0.0
2020-01-22,32,Nevada,0.0
2020-01-22,33,New Hampshire,0.0
2020-01-22,34,New Jersey,0.0
2020-01-22,35,New Mexico,0.0
2020-01-22,36,New York,0.0
2020-01-22,37,North Carolina,0.0
2020-01-22,38,North Dakota,0.0
2020-01-22,39,Ohio,0.0
2020-01-22,40,Oklahoma,0.0
2020-01-22,41,Oregon,0.0
2020-01-22,42,Pennsylvania,0.0
2020-01-22,44,Rhode Island,0.0
2020-01-22,45,South Carolina,0.0
2020-01-22,46,South Dakota,0.0
2020-01-22,47,Tennessee,0.0
2020-01-22,48,Texas,0.0
2020-01-22,49,Utah,0.0
2020-01-22,50,Vermont,0.0
2020-01-22,51,Virginia,0.0
2020-01-22,53,Washington,0.0
2020-01-22,54,West Virginia,0.0
2020-01-22,55,Wisconsin,0.0
2020-01-22,56,Wyoming,0.0
2020-01-22,60,American Samoa,0.0
2020-01-22,66,Guam,0.0
2020-01-22,69,Northern Mariana Islands,0.0
2020-01-22,72,Puerto Rico,0.0
2020-01-22,78,Virgin Islands,0.0
2020-01-22,,Diamond Princess,0.0
2020-01-22,,Grand Princess,0.0
2020-01-23,01,Alabama,0.0
2020-01-23,02,Alaska,0.0
2020-01-23,04,Arizona,0.0
2020-01-23,05,Arkansas,0.0
2020-01-23,06,California,0.0
2020-01-23,08,Colorado,0.0
2020-01-23,09,Connecticut,0.0
2020-01-23,10,Delaware,0.0
2020-01-23,11,District of Columbia,0.0
2020-01-23,12,Florida,0.0
2020-01-23,13,Georgia,0.0
2020-01-23,15,Hawaii,0.0
2020-01-23,16,Idaho,0.0
2020-01-23,17,Illinois,0.0
2020-01-23,18,Indiana,0.0
2020-01-23,19,Iowa,0.0
2020-01-23,20,Kansas,0.0
2020-01-23,21,Kentucky,0.0
2020-01-23,22,Louisiana,0.0
2020-01-23,23,Maine,0.0
2020-01-23,24,Maryland,0.0
2020-01-23,25,Massachusetts,0.0
2020-01-23,26,Michigan,0.0
2020-01-23,27,Minnesota,0.0
2020-01-23,28,Mississippi,0.0
2020-01-23,29,Missouri,0.0
2020-01-23,30,Montana,0.0
2020-01-23,31,Nebraska,0.0
2020-01-23,32,Nevada,0.0
2020-01-23,33,New Hampshire,0.0
2020-01-23,34,New Jersey,0.0
2020-01-23,35,New Mexico,0.0
2020-01-23,36,New York,0.0
2020-01-23,37,North Carolina,0.0
2020-01-23,38,North Dakota,0.0
2020-01-23,39,Ohio,0.0
2020-01-23,40,Oklahoma,0.0
2020-01-23,41,Oregon,0.0
2020-01-23,42,Pennsylvania,0.0
2020-01-23,44,Rhode Island,0.0
2020-01-23,45,South Carolina,0.0
2020-01-23,46,South Dakota,0.0
2020-01-23,47,Tennessee,0.0
2020-01-23,48,Texas,0.0
2020-01-23,49,Utah,0.0
2020-01-23,50,Vermont,0.0
2020-01-23,51,Virginia,0.0
2020-01-23,53,Washington,0.0
2020-01-23,54,West Virginia,0.0
2020-01-23,55,Wisconsin,0.0
2020-01-23,56,Wyoming,0.0
2020-01-23,60,American Samoa,0.0
2020-01-23,66,Guam,0.0
2020-01-23,69,Northern Mariana Islands,0.0
2020-01-23,72,Puerto Rico,0.0
2020-01-23,78,Virgin Islands,0.0
2020-01-23,,Diamond Princess,0.0
2020-01-23,,Grand Princess,0.0
2020-01-24,01,Alabama,0.0
2020-01-24,02,Alaska,0.0
2020-01-24,04,Arizona,0.0
2020-01-24,05,Arkansas,0.0
2020-01-24,06,California,0.0
2020-01-24,08,Colorado,0.0
2020-01-24,09,Connecticut,0.0
2020-01-24,10,Delaware,0.0
2020-01-24,11,District of Columbia,0.0
2020-01-24,12,Florida,0.0
2020-01-24,13,Georgia,0.0
2020-01-24,15,Hawaii,0.0
2020-01-24,16,Idaho,0.0
2020-01-24,17,Illinois,0.0
2020-01-24,18,Indiana,0.0
2020-01-24,19,Iowa,0.0
2020-01-24,20,Kansas,0.0
2020-01-24,21,Kentucky,0.0
2020-01-24,22,Louisiana,0.0
2020-01-24,23,Maine,0.0
2020-01-24,24,Maryland,0.0
2020-01-24,25,Massachusetts,0.0
2020-01-24,26,Michigan,0.0
2020-01-24,27,Minnesota,0.0
2020-01-24,28,Mississippi,0.0
2020-01-24,29,Missouri,0.0
2020-01-24,30,Montana,0.0
2020-01-24,31,Nebraska,0.0
2020-01-24,32,Nevada,0.0
2020-01-24,33,New Hampshire,0.0
2020-01-24,34,New Jersey,0.0
2020-01-24,35,New Mexico,0.0
2020-01-24,36,New York,0.0
2020-01-24,37,North Carolina,0.0
2020-01-24,38,North Dakota,0.0
2020-01-24,39,Ohio,0.0
2020-01-24,40,Oklahoma,0.0
2020-01-24,41,Oregon,0.0
2020-01-24,42,Pennsylvania,0.0
2020-01-24,44,Rhode Island,0.0
2020-01-24,45,South Carolina,0.0
2020-01-24,46,South Dakota,0.0
2020-01-24,47,Tennessee,0.0
2020-01-24,48,Texas,0.0
2020-01-24,49,Utah,0.0
2020-01-24,50,Vermont,0.0
2020-01-24,51,Virginia,0.0
2020-01-24,53,Washington,0.0
2020-01-24,54,West Virginia,0.0
2020-01-24,55,Wisconsin,0.0
2020-01-24,56,Wyoming,0.0
2020-01-24,60,American Samoa,0.0
2020-01-24,66,Guam,0.0
2020-01-24,69,Northern Mariana Islands,0.0
2020-01-24,72,Puerto Rico,0.0
2020-01-24,78,Virgin Islands,0.0
2020-01-24,,Diamond Princess,0.0
2020-01-24,,Grand Princess,0.0
2020-01-25,01,Alabama,0.0
2020-01-25,02,Alaska,0.0
2020-01-25,04,Arizona,0.0
2020-01-25,05,Arkansas,0.0
2020-01-25,06,California,0.0
2020-01-25,08,Colorado,0.0
2020-01-25,09,Connecticut,0.0
2020-01-25,10,Delaware,0.0
2020-01-25,11,District of Columbia,0.0
2020-01-25,12,Florida,0.0
2020-01-25,13,Georgia,0.0
2020-01-25,15,Hawaii,0.0
2020-01-25,16,Idaho,0.0
2020-01-25,17,Illinois,0.0
2020-01-25,18,Indiana,0.0
2020-01-25,19,Iowa,0.0
2020-01-25,20,Kansas,0.0
2020-01-25,21,Kentucky,0.0
2020-01-25,22,Louisiana,0.0
2020-01-25,23,Maine,0.0
2020-01-25,24,Maryland,0.0
2020-01-25,25,Massachusetts,0.0
2020-01-25,26,Michigan,0.0
2020-01-25,27,Minnesota,0.0
2020-01-25,28,Mississippi,0.0
2020-01-25,29,Missouri,0.0
2020-01-25,30,Montana,0.0
2020-01-25,31,Nebraska,0.0
2020-01-25,32,Nevada,0.0
2020-01-25,33,New Hampshire,0.0
2020-01-25,34,New Jersey,0.0
2020-01-25,35,New Mexico,0.0
2020-01-25,36,New York,0.0
2020-01-25,37,North Carolina,0.0
2020-01-25,38,North Dakota,0.0
2020-01-25,39,Ohio,0.0
2020-01-25,40,Oklahoma,0.0
2020-01-25,41,Oregon,0.0
2020-01-25,42,Pennsylvania,0.0
2020-01-25,44,Rhode Island,0.0
2020-01-25,45,South Carolina,0.0
2020-01-25,46,South Dakota,0.0
