"window_size","test_date","EWA","V3","V4","QRA2","QRA3","QRA4"
1,2020-06-06,24.0975877960634,24.5406106977479,23.0432557644013,21.283795126335,34.0237050257953,34.2403917527234
1,2020-06-13,19.476450788541,15.4760610511007,15.6334844043815,18.0131198287701,20.8250147716293,20.9823737048813
1,2020-06-20,18.9118035263425,21.8452624835027,20.6969280599575,16.1445376077149,28.4614737828088,27.9026424703466
2,2020-06-06,24.0975877960634,23.4787675821779,23.2280947090158,23.9059716461205,29.6724239416573,34.0055416603717
2,2020-06-13,19.476450788541,17.0381078035826,17.4883572667562,17.5699162217565,25.8004749518211,25.1730242659398
2,2020-06-20,18.9118035263425,18.3527643092543,15.5762466023444,16.5549429542523,24.2899727438816,23.257883599079
3,2020-06-06,24.0975877960634,24.6567039549793,24.5709188156681,24.0402779903826,29.7974834481571,32.9307425018282
3,2020-06-13,19.476450788541,16.3914913993168,16.5806725774714,20.458444154126,22.3570000660078,21.8742459426696
3,2020-06-20,18.9118035263425,18.9851630129573,20.5913472685295,18.0480590350571,21.4292440602547,20.8063842926863
4,2020-06-06,24.0975877960634,22.1545762393976,22.5744473161861,23.1283182277004,24.5535342081274,28.9401304186184
4,2020-06-13,19.476450788541,17.2107546783122,17.3137728160704,17.831291045238,19.3973771146584,18.5775519989689
4,2020-06-20,18.9118035263425,16.4913994337303,16.7519639126174,24.594875425414,22.5514183350935,21.9727860365565
