"target_end_date","location","target","model","location_name","ae","wgt_iw","wgt_pen_u","wgt_pen_l","wis"
2020-11-21,"01","1 wk ahead inc case","COVIDhub-ensemble","Alabama",1379,462.557142857143,197,0,659.557142857143
2020-11-21,"01001","1 wk ahead inc case","COVIDhub-ensemble","Autauga County",NA,9.15,NA,NA,NA
2020-11-21,"02","1 wk ahead inc case","COVIDhub-ensemble","Alaska",140,124.214285714286,20,0,144.214285714286
2020-11-21,"04","1 wk ahead inc case","COVIDhub-ensemble","Arizona",5429,608.5,2212.71428571429,0,2821.21428571429
2020-11-21,"05","1 wk ahead inc case","COVIDhub-ensemble","Arkansas",411,374.864285714286,58.7142857142857,0,433.578571428571
2020-11-21,"06","1 wk ahead inc case","COVIDhub-ensemble","California",26932,2042.66428571429,15597.4285714286,0,17640.0928571429
2020-11-21,"08","1 wk ahead inc case","COVIDhub-ensemble","Colorado",0,1175.82857142857,0,0,1175.82857142857
2020-11-21,"09","1 wk ahead inc case","COVIDhub-ensemble","Connecticut",2340,529.314285714286,334.285714285714,0,863.6
2020-11-21,"10","1 wk ahead inc case","COVIDhub-ensemble","Delaware",815,89.8857142857143,277.285714285714,0,367.171428571429
2020-11-21,"12","1 wk ahead inc case","COVIDhub-ensemble","Florida",17160,1162.55714285714,9123.71428571429,0,10286.2714285714
2020-11-21,"13","1 wk ahead inc case","COVIDhub-ensemble","Georgia",5434,1048.74285714286,1625.42857142857,0,2674.17142857143
2020-11-21,"15","1 wk ahead inc case","COVIDhub-ensemble","Hawaii",69,30.6857142857143,0,9.85714285714286,40.5428571428571
2020-11-21,"16","1 wk ahead inc case","COVIDhub-ensemble","Idaho",178,267.85,25.4285714285714,0,293.278571428571
2020-11-21,"17","1 wk ahead inc case","COVIDhub-ensemble","Illinois",7640,2983.24285714286,0,1091.42857142857,4074.67142857143
2020-11-21,"18","1 wk ahead inc case","COVIDhub-ensemble","Indiana",1376,1518.89285714286,0,196.571428571429,1715.46428571429
2020-11-21,"19","1 wk ahead inc case","COVIDhub-ensemble","Iowa",8458,1161.43571428571,0,2739.14285714286,3900.57857142857
2020-11-21,"20","1 wk ahead inc case","COVIDhub-ensemble","Kansas",2904,704.807142857143,751.428571428571,0,1456.23571428571
2020-11-21,"21","1 wk ahead inc case","COVIDhub-ensemble","Kentucky",2020,530.742857142857,343.428571428571,0,874.171428571429
2020-11-21,"22","1 wk ahead inc case","COVIDhub-ensemble","Louisiana",5774,436.65,2953.42857142857,0,3390.07857142857
2020-11-21,"23","1 wk ahead inc case","COVIDhub-ensemble","Maine",18,60.5642857142857,2.57142857142857,0,63.1357142857143
2020-11-21,"24","1 wk ahead inc case","COVIDhub-ensemble","Maryland",3179,447.571428571429,823.571428571429,0,1271.14285714286
2020-11-21,"25","1 wk ahead inc case","COVIDhub-ensemble","Massachusetts",334,586.7,0,47.7142857142857,634.414285714286
2020-11-21,"26","1 wk ahead inc case","COVIDhub-ensemble","Michigan",1056,2103.67857142857,0,150.857142857143,2254.53571428571
2020-11-21,"27","1 wk ahead inc case","COVIDhub-ensemble","Minnesota",1059,1577.43571428571,151.285714285714,0,1728.72142857143
2020-11-21,"28","1 wk ahead inc case","COVIDhub-ensemble","Mississippi",1534,229.342857142857,385.428571428571,0,614.771428571429
2020-11-21,"29","1 wk ahead inc case","COVIDhub-ensemble","Missouri",1788,853.207142857143,0,255.428571428571,1108.63571428571
2020-11-21,"30","1 wk ahead inc case","COVIDhub-ensemble","Montana",932,228.792857142857,242,0,470.792857142857
2020-11-21,"31","1 wk ahead inc case","COVIDhub-ensemble","Nebraska",18,471.978571428571,0,2.57142857142857,474.55
2020-11-21,"32","1 wk ahead inc case","COVIDhub-ensemble","Nevada",1802,383.107142857143,422,0,805.107142857143
2020-11-21,"33","1 wk ahead inc case","COVIDhub-ensemble","New Hampshire",421,99.2928571428571,85.2857142857143,0,184.578571428571
2020-11-21,"34","1 wk ahead inc case","COVIDhub-ensemble","New Jersey",7090,1153.78571428571,1266.57142857143,0,2420.35714285714
2020-11-21,"35","1 wk ahead inc case","COVIDhub-ensemble","New Mexico",6347,290.107142857143,4389,0,4679.10714285714
2020-11-21,"36","1 wk ahead inc case","COVIDhub-ensemble","New York",2139,1541.47142857143,305.571428571429,0,1847.04285714286
2020-11-21,"37","1 wk ahead inc case","COVIDhub-ensemble","North Carolina",4303,535.942857142857,1339,0,1874.94285714286
2020-11-21,"38","1 wk ahead inc case","COVIDhub-ensemble","North Dakota",1361,331.342857142857,0,255.857142857143,587.2
2020-11-21,"39","1 wk ahead inc case","COVIDhub-ensemble","Ohio",3857,2097.55,551,0,2648.55
2020-11-21,"40","1 wk ahead inc case","COVIDhub-ensemble","Oklahoma",2737,733.2,427.285714285714,0,1160.48571428571
2020-11-21,"41","1 wk ahead inc case","COVIDhub-ensemble","Oregon",546,263.092857142857,78,0,341.092857142857
2020-11-21,"42","1 wk ahead inc case","COVIDhub-ensemble","Pennsylvania",3460,1356.83571428571,900.571428571429,0,2257.40714285714
2020-11-21,"44","1 wk ahead inc case","COVIDhub-ensemble","Rhode Island",1341,193.971428571429,371.857142857143,0,565.828571428571
2020-11-21,"45","1 wk ahead inc case","COVIDhub-ensemble","South Carolina",1640,261.271428571429,485.714285714286,0,746.985714285714
2020-11-21,"46","1 wk ahead inc case","COVIDhub-ensemble","South Dakota",2238,251.357142857143,0,886.285714285714,1137.64285714286
2020-11-21,"47","1 wk ahead inc case","COVIDhub-ensemble","Tennessee",3239,818.114285714286,462.714285714286,0,1280.82857142857
2020-11-21,"48","1 wk ahead inc case","COVIDhub-ensemble","Texas",17551,2120.36428571429,5657.28571428571,0,7777.65
2020-11-21,"49","1 wk ahead inc case","COVIDhub-ensemble","Utah",2038,560.585714285714,291.142857142857,0,851.728571428572
2020-11-21,"50","1 wk ahead inc case","COVIDhub-ensemble","Vermont",194,32.8642857142857,53.7142857142857,0,86.5785714285714
2020-11-21,"51","1 wk ahead inc case","COVIDhub-ensemble","Virginia",4344,313.25,2474.28571428571,0,2787.53571428571
2020-11-21,"53","1 wk ahead inc case","COVIDhub-ensemble","Washington",1172,503.557142857143,167.428571428571,0,670.985714285714
2020-11-21,"54","1 wk ahead inc case","COVIDhub-ensemble","West Virginia",1612,238.278571428571,359.142857142857,0,597.421428571429
2020-11-21,"55","1 wk ahead inc case","COVIDhub-ensemble","Wisconsin",1826,1146.52857142857,0,260.857142857143,1407.38571428571
2020-11-21,"56","1 wk ahead inc case","COVIDhub-ensemble","Wyoming",2,216.607142857143,0.285714285714286,0,216.892857142857
2020-11-21,"US","1 wk ahead inc case","COVIDhub-ensemble","US",69027,26800.9428571429,9861,0,36661.9428571429
2020-11-28,"01","1 wk ahead inc case","COVIDhub-ensemble","Alabama",974,532.728571428572,0,139.142857142857,671.871428571429
2020-11-28,"02","1 wk ahead inc case","COVIDhub-ensemble","Alaska",116,99.3928571428571,16.5714285714286,0,115.964285714286
2020-11-28,"04","1 wk ahead inc case","COVIDhub-ensemble","Arizona",1768,793.928571428571,276.857142857143,0,1070.78571428571
2020-11-28,"05","1 wk ahead inc case","COVIDhub-ensemble","Arkansas",1009,330.45,0,192.428571428571,522.878571428571
2020-11-28,"06","1 wk ahead inc case","COVIDhub-ensemble","California",1812,2818.81428571429,258.857142857143,0,3077.67142857143
2020-11-28,"08","1 wk ahead inc case","COVIDhub-ensemble","Colorado",9220,930.2,0,3383.14285714286,4313.34285714286
2020-11-28,"09","1 wk ahead inc case","COVIDhub-ensemble","Connecticut",3777,514.385714285714,0,1110.42857142857,1624.81428571429
2020-11-28,"10","1 wk ahead inc case","COVIDhub-ensemble","Delaware",219,97.6214285714286,31.2857142857143,0,128.907142857143
2020-11-28,"12","1 wk ahead inc case","COVIDhub-ensemble","Florida",5424,1546.35,0,1356.85714285714,2903.20714285714
2020-11-28,"13","1 wk ahead inc case","COVIDhub-ensemble","Georgia",2596,864.1,0,846,1710.1
2020-11-28,"15","1 wk ahead inc case","COVIDhub-ensemble","Hawaii",97,32.3357142857143,13.8571428571429,0,46.1928571428572
2020-11-28,"16","1 wk ahead inc case","COVIDhub-ensemble","Idaho",1094,229.314285714286,0,298,527.314285714286
2020-11-28,"17","1 wk ahead inc case","COVIDhub-ensemble","Illinois",16651,2232.62142857143,0,6508.42857142857,8741.05
2020-11-28,"18","1 wk ahead inc case","COVIDhub-ensemble","Indiana",10671,969.607142857143,0,3955.28571428571,4924.89285714286
2020-11-28,"19","1 wk ahead inc case","COVIDhub-ensemble","Iowa",7359,875.457142857143,0,2790.71428571429,3666.17142857143
2020-11-28,"20","1 wk ahead inc case","COVIDhub-ensemble","Kansas",1127,396.3,0,246.428571428571,642.728571428572
2020-11-28,"21","1 wk ahead inc case","COVIDhub-ensemble","Kentucky",3918,703.528571428571,0,1032.28571428571,1735.81428571429
2020-11-28,"22","1 wk ahead inc case","COVIDhub-ensemble","Louisiana",1848,577.55,0,511.428571428571,1088.97857142857
2020-11-28,"23","1 wk ahead inc case","COVIDhub-ensemble","Maine",331,55.05,0,103.571428571429,158.621428571429
2020-11-28,"24","1 wk ahead inc case","COVIDhub-ensemble","Maryland",3409,522.65,0,883,1405.65
2020-11-28,"25","1 wk ahead inc case","COVIDhub-ensemble","Massachusetts",1929,522.385714285714,0,329,851.385714285714
2020-11-28,"26","1 wk ahead inc case","COVIDhub-ensemble","Michigan",12386,2125.64285714286,0,3144.28571428571,5269.92857142857
2020-11-28,"27","1 wk ahead inc case","COVIDhub-ensemble","Minnesota",9790,1284.52857142857,0,3623.71428571429,4908.24285714286
2020-11-28,"28","1 wk ahead inc case","COVIDhub-ensemble","Mississippi",1666,297.935714285714,0,634.571428571429,932.507142857143
2020-11-28,"29","1 wk ahead inc case","COVIDhub-ensemble","Missouri",4371,1237.50714285714,0,638.428571428571,1875.93571428571
2020-11-28,"30","1 wk ahead inc case","COVIDhub-ensemble","Montana",2414,214.664285714286,0,1522.57142857143,1737.23571428571
2020-11-28,"31","1 wk ahead inc case","COVIDhub-ensemble","Nebraska",4159,319.6,0,2925,3244.6
2020-11-28,"32","1 wk ahead inc case","COVIDhub-ensemble","Nevada",3185,363.078571428571,1157.85714285714,0,1520.93571428571
2020-11-28,"33","1 wk ahead inc case","COVIDhub-ensemble","New Hampshire",181,138,0,25.8571428571429,163.857142857143
2020-11-28,"34","1 wk ahead inc case","COVIDhub-ensemble","New Jersey",7,840.814285714286,1,0,841.814285714286
2020-11-28,"35","1 wk ahead inc case","COVIDhub-ensemble","New Mexico",2222,567.828571428571,0,571.428571428571,1139.25714285714
2020-11-28,"36","1 wk ahead inc case","COVIDhub-ensemble","New York",6044,1208.75,1146,0,2354.75
2020-11-28,"37","1 wk ahead inc case","COVIDhub-ensemble","North Carolina",2071,533.971428571429,295.857142857143,0,829.828571428571
2020-11-28,"38","1 wk ahead inc case","COVIDhub-ensemble","North Dakota",2268,247.971428571429,0,1008.28571428571,1256.25714285714
2020-11-28,"39","1 wk ahead inc case","COVIDhub-ensemble","Ohio",4449,1436.57857142857,705.857142857143,0,2142.43571428571
2020-11-28,"40","1 wk ahead inc case","COVIDhub-ensemble","Oklahoma",1473,631.528571428572,210.428571428571,0,841.957142857143
2020-11-28,"41","1 wk ahead inc case","COVIDhub-ensemble","Oregon",20,250.392857142857,2.85714285714286,0,253.25
2020-11-28,"42","1 wk ahead inc case","COVIDhub-ensemble","Pennsylvania",967,1264.27142857143,0,138.142857142857,1402.41428571429
2020-11-28,"44","1 wk ahead inc case","COVIDhub-ensemble","Rhode Island",954,251.75,0,242.285714285714,494.035714285714
2020-11-28,"45","1 wk ahead inc case","COVIDhub-ensemble","South Carolina",1401,340.771428571429,0,508.714285714286,849.485714285714
2020-11-28,"46","1 wk ahead inc case","COVIDhub-ensemble","South Dakota",1557,304.15,0,511.571428571429,815.721428571429
2020-11-28,"47","1 wk ahead inc case","COVIDhub-ensemble","Tennessee",3188,842.25,0,764.571428571429,1606.82142857143
2020-11-28,"48","1 wk ahead inc case","COVIDhub-ensemble","Texas",10347,2316.44285714286,0,2242.71428571429,4559.15714285714
2020-11-28,"49","1 wk ahead inc case","COVIDhub-ensemble","Utah",6302,685.328571428571,0,2871.71428571429,3557.04285714286
2020-11-28,"50","1 wk ahead inc case","COVIDhub-ensemble","Vermont",289,41.2785714285714,0,102.142857142857,143.421428571429
2020-11-28,"51","1 wk ahead inc case","COVIDhub-ensemble","Virginia",2531,356.414285714286,773.571428571429,0,1129.98571428571
2020-11-28,"53","1 wk ahead inc case","COVIDhub-ensemble","Washington",4586,437.564285714286,1876.85714285714,0,2314.42142857143
2020-11-28,"54","1 wk ahead inc case","COVIDhub-ensemble","West Virginia",817,184.207142857143,0,267.857142857143,452.064285714286
2020-11-28,"55","1 wk ahead inc case","COVIDhub-ensemble","Wisconsin",15932,879.328571428571,0,11532.5714285714,12411.9
2020-11-28,"56","1 wk ahead inc case","COVIDhub-ensemble","Wyoming",1941,185.507142857143,0,740.428571428571,925.935714285714
2020-11-28,"US","1 wk ahead inc case","COVIDhub-ensemble","US",136047,30118.4571428571,0,30426.7142857143,60545.1714285714
2020-12-05,"01","1 wk ahead inc case","COVIDhub-ensemble","Alabama",7626,511.921428571429,4079.14285714286,0,4591.06428571429
2020-12-05,"02","1 wk ahead inc case","COVIDhub-ensemble","Alaska",589,124.735714285714,149,0,273.735714285714
2020-12-05,"04","1 wk ahead inc case","COVIDhub-ensemble","Arizona",8453,979.071428571429,2184.71428571429,0,3163.78571428571
2020-12-05,"05","1 wk ahead inc case","COVIDhub-ensemble","Arkansas",2875,355.9,957.285714285714,0,1313.18571428571
2020-12-05,"06","1 wk ahead inc case","COVIDhub-ensemble","California",40645,2826.27857142857,21704.1428571429,0,24530.4214285714
2020-12-05,"08","1 wk ahead inc case","COVIDhub-ensemble","Colorado",916,1077.52142857143,130.857142857143,0,1208.37857142857
2020-12-05,"09","1 wk ahead inc case","COVIDhub-ensemble","Connecticut",3659,449.935714285714,1107,0,1556.93571428571
2020-12-05,"10","1 wk ahead inc case","COVIDhub-ensemble","Delaware",842,105.564285714286,265.142857142857,0,370.707142857143
2020-12-05,"12","1 wk ahead inc case","COVIDhub-ensemble","Florida",8637,1871.36428571429,1233.85714285714,0,3105.22142857143
2020-12-05,"13","1 wk ahead inc case","COVIDhub-ensemble","Georgia",10241,803.328571428571,5123.28571428571,0,5926.61428571429
2020-12-05,"15","1 wk ahead inc case","COVIDhub-ensemble","Hawaii",36,24.9357142857143,0,5.14285714285714,30.0785714285714
2020-12-05,"16","1 wk ahead inc case","COVIDhub-ensemble","Idaho",1219,299.285714285714,271.285714285714,0,570.571428571429
2020-12-05,"17","1 wk ahead inc case","COVIDhub-ensemble","Illinois",1079,1913.45,154.142857142857,0,2067.59285714286
2020-12-05,"18","1 wk ahead inc case","COVIDhub-ensemble","Indiana",5530,908.128571428571,1716.57142857143,0,2624.7
2020-12-05,"19","1 wk ahead inc case","COVIDhub-ensemble","Iowa",1770,600.371428571429,0,252.857142857143,853.228571428572
2020-12-05,"20","1 wk ahead inc case","COVIDhub-ensemble","Kansas",2345,578.807142857143,0,397.285714285714,976.092857142857
2020-12-05,"21","1 wk ahead inc case","COVIDhub-ensemble","Kentucky",4049,840.935714285714,578.428571428571,0,1419.36428571429
2020-12-05,"22","1 wk ahead inc case","COVIDhub-ensemble","Louisiana",1901,700.621428571429,271.571428571429,0,972.192857142857
2020-12-05,"23","1 wk ahead inc case","COVIDhub-ensemble","Maine",569,60.1071428571429,194.428571428571,0,254.535714285714
2020-12-05,"24","1 wk ahead inc case","COVIDhub-ensemble","Maryland",2845,424.892857142857,847,0,1271.89285714286
2020-12-05,"25","1 wk ahead inc case","COVIDhub-ensemble","Massachusetts",10910,619.235714285714,6264.85714285714,0,6884.09285714286
2020-12-05,"26","1 wk ahead inc case","COVIDhub-ensemble","Michigan",734,1801.08571428571,0,104.857142857143,1905.94285714286
2020-12-05,"27","1 wk ahead inc case","COVIDhub-ensemble","Minnesota",961,1257.35,0,137.285714285714,1394.63571428571
2020-12-05,"28","1 wk ahead inc case","COVIDhub-ensemble","Mississippi",4680,334.4,2832.28571428571,0,3166.68571428571
2020-12-05,"29","1 wk ahead inc case","COVIDhub-ensemble","Missouri",3909,926.85,590.714285714286,0,1517.56428571429
2020-12-05,"30","1 wk ahead inc case","COVIDhub-ensemble","Montana",458,265.514285714286,0,65.4285714285714,330.942857142857
2020-12-05,"31","1 wk ahead inc case","COVIDhub-ensemble","Nebraska",951,529.235714285714,135.857142857143,0,665.092857142857
2020-12-05,"32","1 wk ahead inc case","COVIDhub-ensemble","Nevada",1603,434.285714285714,0,363,797.285714285714
2020-12-05,"33","1 wk ahead inc case","COVIDhub-ensemble","New Hampshire",2042,149.557142857143,1077.71428571429,0,1227.27142857143
2020-12-05,"34","1 wk ahead inc case","COVIDhub-ensemble","New Jersey",8455,820.171428571429,3390.71428571429,0,4210.88571428571
2020-12-05,"35","1 wk ahead inc case","COVIDhub-ensemble","New Mexico",2542,488.107142857143,0,702.571428571429,1190.67857142857
2020-12-05,"36","1 wk ahead inc case","COVIDhub-ensemble","New York",14179,1352.38571428571,6535,0,7887.38571428571
