"target_end_date","location","target","model","window_size","location_name","ae","wgt_iw","wgt_pen_u","wgt_pen_l","wis"
2020-11-21,"01","1 wk ahead inc case","Baseline","1","Alabama",1504,257.421071428571,461.214285714286,0,718.635357142857
2020-11-21,"01","1 wk ahead inc case","Baseline","2","Alabama",1504,257.421071428571,461.214285714286,0,718.635357142857
2020-11-21,"01","1 wk ahead inc case","Baseline","3","Alabama",1504,257.421071428571,461.214285714286,0,718.635357142857
2020-11-21,"01","1 wk ahead inc case","Baseline","4","Alabama",1504,257.421071428571,461.214285714286,0,718.635357142857
2020-11-21,"01","1 wk ahead inc case","EWA","4","Alabama",2188.4013271866,517.486775240322,423.126071950343,0,940.612847190665
2020-11-21,"01","1 wk ahead inc case","GQRA3","4","Alabama",1414.5294769733,523.327035558993,0,202.075639567614,725.402675126607
2020-11-21,"01","1 wk ahead inc case","INV","4","Alabama",1446.806122863,540.51028541876,206.686588980428,0,747.196874399189
2020-11-21,"01","1 wk ahead inc case","INVA","4","Alabama",1330.9967091801,546.592252812673,190.142387025729,0,736.734639838401
2020-11-21,"01","1 wk ahead inc case","MED","4","Alabama",1504,514.71127809853,214.857142857143,0,729.568420955673
2020-11-21,"01","1 wk ahead inc case","QRA3","4","Alabama",1414.5593753246,399.400798047389,0,202.079910760657,601.480708808046
2020-11-21,"01","1 wk ahead inc case","V3","4","Alabama",2386.9815192672,506.550981347876,0,590.673938567657,1097.22491991553
2020-11-21,"01","1 wk ahead inc case","V3_iter","4","Alabama",1739.1810963093,576.485069056866,0,248.4544423299,824.939511386766
2020-11-21,"01001","1 wk ahead inc case","Baseline","1","Autauga County",NA,5.76142857142857,NA,NA,NA
2020-11-21,"02","1 wk ahead inc case","Baseline","1","Alaska",233,22.9599999999999,100.542857142857,0,123.502857142857
2020-11-21,"02","1 wk ahead inc case","Baseline","2","Alaska",233,22.9599999999999,100.542857142857,0,123.502857142857
2020-11-21,"02","1 wk ahead inc case","Baseline","3","Alaska",233,22.9599999999999,100.542857142857,0,123.502857142857
2020-11-21,"02","1 wk ahead inc case","Baseline","4","Alaska",233,22.9599999999999,100.542857142857,0,123.502857142857
2020-11-21,"02","1 wk ahead inc case","EWA","4","Alaska",325.87210999004,134.240509263247,46.5531585700057,0,180.793667833252
2020-11-21,"02","1 wk ahead inc case","GQRA3","4","Alaska",1293.96023338341,84.7175883133166,0,474.849617520164,559.567205833481
2020-11-21,"02","1 wk ahead inc case","INV","4","Alaska",358.46266706735,156.008917190986,0,51.2089524381928,207.217869629179
2020-11-21,"02","1 wk ahead inc case","INVA","4","Alaska",31.3960411458402,146.182291799625,4.48514873512002,0,150.667440534745
2020-11-21,"02","1 wk ahead inc case","MED","4","Alaska",233,92.4126774857565,33.2857142857143,0,125.698391771471
2020-11-21,"02","1 wk ahead inc case","QRA3","4","Alaska",944.44936851212,88.298409165251,0,404.126288535614,492.424697700865
2020-11-21,"02","1 wk ahead inc case","V3","4","Alaska",735.14854315913,107.168096597299,0,235.639604273539,342.807700870837
2020-11-21,"02","1 wk ahead inc case","V3_iter","4","Alaska",459.00935771738,154.54624638234,0,65.5727653881972,220.119011770537
2020-11-21,"04","1 wk ahead inc case","Baseline","1","Arizona",6612,354.461428571429,4249.14285714286,0,4603.60428571429
2020-11-21,"04","1 wk ahead inc case","Baseline","2","Arizona",6612,354.461428571429,4249.14285714286,0,4603.60428571429
2020-11-21,"04","1 wk ahead inc case","Baseline","3","Arizona",6612,354.461428571429,4249.14285714286,0,4603.60428571429
