"target_end_date","location","target","model","location_name","ae","wgt_iw","wgt_pen_u","wgt_pen_l","wis"
2020-12-12,"01","4 wk ahead inc death","COVIDhub-ensemble","Alabama",164,13.2647826086957,0,111.217391304348,124.482173913043
2020-12-12,"02","4 wk ahead inc death","COVIDhub-ensemble","Alaska",1,2.04739130434783,0,0.0434782608695652,2.09086956521739
2020-12-12,"04","4 wk ahead inc death","COVIDhub-ensemble","Arizona",118,16.7426086956522,0,74.1739130434783,90.9165217391304
2020-12-12,"05","4 wk ahead inc death","COVIDhub-ensemble","Arkansas",92,7.6195652173913,0,62.695652173913,70.3152173913043
2020-12-12,"06","4 wk ahead inc death","COVIDhub-ensemble","California",297,29.3739130434783,0,198.565217391304,227.939130434783
2020-12-12,"08","4 wk ahead inc death","COVIDhub-ensemble","Colorado",240,14.0673913043478,0,195.565217391304,209.632608695652
2020-12-12,"09","4 wk ahead inc death","COVIDhub-ensemble","Connecticut",107,8.50478260869565,0,71.9565217391304,80.4613043478261
2020-12-12,"10","4 wk ahead inc death","COVIDhub-ensemble","Delaware",21,3.1095652173913,0,10.4782608695652,13.5878260869565
2020-12-12,"12","4 wk ahead inc death","COVIDhub-ensemble","Florida",407,22.4130434782609,0,303.695652173913,326.108695652174
2020-12-12,"13","4 wk ahead inc death","COVIDhub-ensemble","Georgia",283,28.7726086956522,0,187.173913043478,215.94652173913
2020-12-12,"15","4 wk ahead inc death","COVIDhub-ensemble","Hawaii",2,1.29608695652174,0,0.173913043478261,1.47
2020-12-12,"16","4 wk ahead inc death","COVIDhub-ensemble","Idaho",68,4.84695652173913,0,48.0869565217391,52.9339130434783
2020-12-12,"17","4 wk ahead inc death","COVIDhub-ensemble","Illinois",801,45.64,0,592.04347826087,637.68347826087
2020-12-12,"18","4 wk ahead inc death","COVIDhub-ensemble","Indiana",413,27.9486956521739,0,292.217391304348,320.166086956522
2020-12-12,"19","4 wk ahead inc death","COVIDhub-ensemble","Iowa",214,21.2695652173913,0,160.521739130435,181.791304347826
2020-12-12,"20","4 wk ahead inc death","COVIDhub-ensemble","Kansas",115,9.37260869565217,0,92.304347826087,101.676956521739
2020-12-12,"21","4 wk ahead inc death","COVIDhub-ensemble","Kentucky",119,9.83826086956522,0,80.2173913043478,90.055652173913
2020-12-12,"22","4 wk ahead inc death","COVIDhub-ensemble","Louisiana",126,9.2995652173913,0,87.0434782608696,96.3430434782609
2020-12-12,"23","4 wk ahead inc death","COVIDhub-ensemble","Maine",16,2.46347826086957,0,6.26086956521739,8.72434782608696
2020-12-12,"24","4 wk ahead inc death","COVIDhub-ensemble","Maryland",104,9.37217391304348,0,65.2173913043478,74.5895652173913
2020-12-12,"25","4 wk ahead inc death","COVIDhub-ensemble","Massachusetts",166,13.8991304347826,0,133.826086956522,147.725217391304
2020-12-12,"26","4 wk ahead inc death","COVIDhub-ensemble","Michigan",430,39.6530434782609,0,300.695652173913,340.348695652174
2020-12-12,"27","4 wk ahead inc death","COVIDhub-ensemble","Minnesota",365,24.2895652173913,0,280.391304347826,304.680869565217
