"target_end_date","location","target","model","window_size","location_name","ae","wgt_iw","wgt_pen_u","wgt_pen_l","wis"
2020-08-29,"01","1 wk ahead cum death","INVA","1","Alabama",43.18338205899,5.89921650170921,18.1913098957352,0,24.0905263974444
2020-08-29,"01","1 wk ahead cum death","INVA","2","Alabama",42.6009511381399,5.82032415857221,17.9821977184408,0,23.802521877013
2020-08-29,"01","1 wk ahead cum death","INVA","3","Alabama",40.1442541382999,5.37979681252121,17.5474362413156,0,22.9272330538369
2020-08-29,"01","1 wk ahead cum death","INVA","4","Alabama",40.7844237519598,5.44782263008436,17.8548444298843,0,23.3026670599687
2020-08-29,"02","1 wk ahead cum death","INVA","1","Alaska",2.7214012946775,0.378157101954558,1.2662014293128,0,1.64435853126735
2020-08-29,"02","1 wk ahead cum death","INVA","2","Alaska",2.7258251009087,0.371099769039992,1.2800573117464,0,1.65115708078639
2020-08-29,"02","1 wk ahead cum death","INVA","3","Alaska",2.6574516135907,0.322901416823396,1.31358083841776,0,1.63648225524116
2020-08-29,"02","1 wk ahead cum death","INVA","4","Alaska",2.6374960746667,0.327462178737669,1.2940296545672,0,1.62149183330487
2020-08-29,"04","1 wk ahead cum death","INVA","1","Arizona",35.2383188723798,11.2666861598389,8.02382258805301,0,19.2905087478919
2020-08-29,"04","1 wk ahead cum death","INVA","2","Arizona",33.59137762097,11.2292897160198,7.42730331287784,0,18.6565930288976
2020-08-29,"04","1 wk ahead cum death","INVA","3","Arizona",26.4381770314903,11.1941523254329,4.89880234304307,0,16.092954668476
2020-08-29,"04","1 wk ahead cum death","INVA","4","Arizona",28.2125937112096,11.2565173539641,5.40702433706994,0,16.6635416910341
2020-08-29,"05","1 wk ahead cum death","INVA","1","Arkansas",28.6710070035,2.67302010859913,15.2558354814817,0,17.9288555900809
2020-08-29,"05","1 wk ahead cum death","INVA","2","Arkansas",28.481850328319,2.64846300469765,15.20445151465,0,17.8529145193477
2020-08-29,"05","1 wk ahead cum death","INVA","3","Arkansas",27.149354306281,2.58388002867049,14.5154099646252,0,17.0992899932957
2020-08-29,"05","1 wk ahead cum death","INVA","4","Arkansas",27.264547566537,2.61763474217843,14.4899814766295,0,17.107616218808
2020-08-29,"06","1 wk ahead cum death","INVA","1","California",49.9391471907002,23.8886441810364,0,9.13644755395232,33.0250917349888
2020-08-29,"06","1 wk ahead cum death","INVA","2","California",52.9856698634994,23.4714294891557,0,10.4439445474044,33.91537403656
2020-08-29,"06","1 wk ahead cum death","INVA","3","California",59.8530142945001,22.0171563338996,0,13.7324900628826,35.7496463967823
2020-08-29,"06","1 wk ahead cum death","INVA","4","California",55.4669291807004,22.5287177108412,0,11.7131610085,34.2418787193412
2020-08-29,"08","1 wk ahead cum death","INVA","1","Colorado",2.4815509457901,3.04261909401651,0.165688234487403,0,3.20830732850392
2020-08-29,"08","1 wk ahead cum death","INVA","2","Colorado",2.4765580481901,3.13652259109119,0.164583839045651,0,3.30110643013684
2020-08-29,"08","1 wk ahead cum death","INVA","3","Colorado",2.65194417956991,3.66986850190914,0.181937846447395,0,3.85180634835653
2020-08-29,"08","1 wk ahead cum death","INVA","4","Colorado",2.69149951359009,3.59045951860137,0.186969081643057,0,3.77742860024442
2020-08-29,"09","1 wk ahead cum death","INVA","1","Connecticut",1.14144506414959,3.26962477609814,0,0.0496280462673736,3.31925282236551
2020-08-29,"09","1 wk ahead cum death","INVA","2","Connecticut",1.1754216843301,3.43310007335593,0,0.051105290623048,3.48420536397898
2020-08-29,"09","1 wk ahead cum death","INVA","3","Connecticut",1.40328173200032,4.25432664989648,0,0.0610122492174054,4.31533889911388
2020-08-29,"09","1 wk ahead cum death","INVA","4","Connecticut",1.38059882377001,4.09748237167207,0,0.0600260358160876,4.15750840748816
2020-08-29,"10","1 wk ahead cum death","INVA","1","Delaware",0.878213981560975,1.03848534460911,0,0.106149226336297,1.14463457094541
2020-08-29,"10","1 wk ahead cum death","INVA","2","Delaware",0.957015552911002,1.07608570218228,0,0.123168037232473,1.19925373941475
2020-08-29,"10","1 wk ahead cum death","INVA","3","Delaware",1.408760755495,1.27976921260144,0,0.220252247283171,1.50002145988461
2020-08-29,"10","1 wk ahead cum death","INVA","4","Delaware",1.34284649374297,1.24625996732284,0,0.205933576589513,1.45219354391236
2020-08-29,"12","1 wk ahead cum death","INVA","1","Florida",84.0610254132007,42.4523882989464,0,13.4757476720695,55.9281359710159
2020-08-29,"12","1 wk ahead cum death","INVA","2","Florida",83.2076748910004,41.3884921541331,0,13.6148487242347,55.0033408783678
2020-08-29,"12","1 wk ahead cum death","INVA","3","Florida",56.6190584413998,33.4134087980813,0,8.50914541820875,41.92255421629
2020-08-29,"12","1 wk ahead cum death","INVA","4","Florida",53.5702484615995,33.977964057975,0,7.72245570446095,41.7004197624359
2020-08-29,"13","1 wk ahead cum death","INVA","1","Georgia",100.85507295011,18.66426795818,36.059387097944,0,54.723655056124
2020-08-29,"13","1 wk ahead cum death","INVA","2","Georgia",99.7428166792897,18.4294383712522,35.7120763670022,0,54.1415147382545
2020-08-29,"13","1 wk ahead cum death","INVA","3","Georgia",99.1891168365901,17.2138971742279,37.0961390155656,0,54.3100361897935
2020-08-29,"13","1 wk ahead cum death","INVA","4","Georgia",101.12920854602,17.4329821485023,37.971953985727,0,55.4049361342293
2020-08-29,"15","1 wk ahead cum death","INVA","1","Hawaii",6.2072436634514,0.971166251637248,2.38574198883317,0,3.35690824047041
2020-08-29,"15","1 wk ahead cum death","INVA","2","Hawaii",6.2790516186615,0.944828025798805,2.46067000014524,0,3.40549802594404
2020-08-29,"15","1 wk ahead cum death","INVA","3","Hawaii",6.7734108707391,0.73642830783166,3.2669490422426,0,4.00337735007426
2020-08-29,"15","1 wk ahead cum death","INVA","4","Hawaii",6.7276893104591,0.74850303979073,3.20919405884666,0,3.95769709863739
