"target_end_date","location","target","model","window_size","location_name","ae","wgt_iw","wgt_pen_u","wgt_pen_l","wis"
2020-08-29,"01","1 wk ahead cum death","V3_iter","4","Alabama",46.3865907355098,5.69099145224674,21.6992001850822,0,27.3901916373289
2020-08-29,"02","1 wk ahead cum death","V3_iter","4","Alaska",1.8349813263643,0.334386052975166,0.702847191942535,0,1.0372332449177
2020-08-29,"04","1 wk ahead cum death","V3_iter","4","Arizona",17.42907230116,10.9863417171342,2.18041081508351,0,13.1667525322177
2020-08-29,"05","1 wk ahead cum death","V3_iter","4","Arkansas",13.094285714907,3.43622586382026,3.51550348333101,0,6.95172934715127
2020-08-29,"06","1 wk ahead cum death","V3_iter","4","California",91.3360023747991,39.1415591392505,0,15.9742271044521,55.1157862437026
2020-08-29,"08","1 wk ahead cum death","V3_iter","4","Colorado",2.81975468261999,2.35309310932221,0.276132292323481,0,2.62922540164569
2020-08-29,"09","1 wk ahead cum death","V3_iter","4","Connecticut",1.37570478189991,2.37740711985062,0,0.0818165078173637,2.45922362766798
2020-08-29,"10","1 wk ahead cum death","V3_iter","4","Delaware",4.21854584674202,2.06971256675068,0,0.643346759642001,2.71305932639268
2020-08-29,"12","1 wk ahead cum death","V3_iter","4","Florida",6.94318299900078,26.8285805224928,0.301877521695686,0,27.1304580441885
2020-08-29,"13","1 wk ahead cum death","V3_iter","4","Georgia",48.48090192581,20.0880018875401,8.2928585966978,0,28.3808604842379
2020-08-29,"15","1 wk ahead cum death","V3_iter","4","Hawaii",8.4675734729633,1.51160007050856,2.77599273833021,0,4.28759280883877
2020-08-29,"16","1 wk ahead cum death","V3_iter","4","Idaho",19.644385811141,1.70971439140277,11.0737060919125,0,12.7834204833152
2020-08-29,"17","1 wk ahead cum death","V3_iter","4","Illinois",0.496993517019291,8.32602812339935,0.0216084137834474,0,8.3476365371828
2020-08-29,"18","1 wk ahead cum death","V3_iter","4","Indiana",22.0205935150798,4.67495617770255,0,7.49892438341043,12.173880561113
2020-08-29,"19","1 wk ahead cum death","V3_iter","4","Iowa",5.84345889920996,3.42585404486339,0.711957407991735,0,4.13781145285513
2020-08-29,"20","1 wk ahead cum death","V3_iter","4","Kansas",2.58594764228201,1.73366735289369,0.301422106127392,0,2.03508945902109
2020-08-29,"21","1 wk ahead cum death","V3_iter","4","Kentucky",5.23646946906501,3.14997426427181,0,0.693306511401874,3.84328077567369
2020-08-29,"22","1 wk ahead cum death","V3_iter","4","Louisiana",18.0601590094902,12.5760901084072,0,2.04832584320478,14.624415951612
2020-08-29,"23","1 wk ahead cum death","V3_iter","4","Maine",2.020301047365,0.414798977913053,0,0.710344032080826,1.12514300999388
2020-08-29,"24","1 wk ahead cum death","V3_iter","4","Maryland",12.1728373578298,3.03269334898246,3.40292240518046,0,6.43561575416292
2020-08-29,"25","1 wk ahead cum death","V3_iter","4","Massachusetts",38.3058060273597,6.40085245010871,14.3237258525417,0,20.7245783026504
2020-08-29,"26","1 wk ahead cum death","V3_iter","4","Michigan",9.41860453664958,6.33897930710675,0,1.17285058810304,7.51182989520979
2020-08-29,"27","1 wk ahead cum death","V3_iter","4","Minnesota",4.49248253114001,3.34793687070391,0,0.4950025338374,3.84293940454131
2020-08-29,"28","1 wk ahead cum death","V3_iter","4","Mississippi",40.2314748192798,6.60559307431721,15.4959756504243,0,22.1015687247416
2020-08-29,"29","1 wk ahead cum death","V3_iter","4","Missouri",14.7478177164801,4.55458634800579,3.47808992968524,0,8.03267627769103
2020-08-29,"30","1 wk ahead cum death","V3_iter","4","Montana",5.12576583104961,0.813050011224203,2.09887670106484,0,2.91192671228905
2020-08-29,"31","1 wk ahead cum death","V3_iter","4","Nebraska",0.352372815831984,1.62682290739879,0.0153205572100863,0,1.64214346460888
2020-08-29,"32","1 wk ahead cum death","V3_iter","4","Nevada",15.43631240573,6.06846350528803,0,2.99659819397954,9.06506169926757
2020-08-29,"33","1 wk ahead cum death","V3_iter","4","New Hampshire",1.74332397823298,0.616391480599699,0,0.405231082575004,1.0216225631747
2020-08-29,"34","1 wk ahead cum death","V3_iter","4","New Jersey",36.2096959912997,6.97273298637212,0,19.2232854632043,26.1960184495764
2020-08-29,"35","1 wk ahead cum death","V3_iter","4","New Mexico",3.02142772076502,1.45002470374817,0,0.514868143645349,1.96489284739352
2020-08-29,"36","1 wk ahead cum death","V3_iter","4","New York",10.3253936776964,9.370684884491,0,1.33084160458637,10.7015264890774
2020-08-29,"37","1 wk ahead cum death","V3_iter","4","North Carolina",4.62567345590014,7.62554171742249,0,0.206651419033931,7.83219313645643
2020-08-29,"38","1 wk ahead cum death","V3_iter","4","North Dakota",8.478189235559,0.952460953656177,0,4.61752578323083,5.56998673688701
2020-08-29,"39","1 wk ahead cum death","V3_iter","4","Ohio",20.2914431394302,8.0084048842855,3.71958787203003,0,11.7279927563155
2020-08-29,"40","1 wk ahead cum death","V3_iter","4","Oklahoma",7.26589647961498,3.05073135048499,1.33473282558657,0,4.38546417607156
2020-08-29,"41","1 wk ahead cum death","V3_iter","4","Oregon",11.882909334533,1.53546348780132,5.3563996948023,0,6.89186318260362
2020-08-29,"42","1 wk ahead cum death","V3_iter","4","Pennsylvania",9.58475259308034,6.32635437406075,1.24750538037654,0,7.57385975443729
2020-08-29,"44","1 wk ahead cum death","V3_iter","4","Rhode Island",9.03172132219993,1.04497450189215,4.1855797051913,0,5.23055420708345
2020-08-29,"45","1 wk ahead cum death","V3_iter","4","South Carolina",4.37139124762007,8.14898324572391,0.190060489026959,0,8.33904373475087
2020-08-29,"46","1 wk ahead cum death","V3_iter","4","South Dakota",2.39167534634799,1.07586861833842,0,0.38052032950913,1.45638894784755
2020-08-29,"47","1 wk ahead cum death","V3_iter","4","Tennessee",7.75460815434008,6.19620611687919,0,0.749295363919136,6.94550148079833
2020-08-29,"48","1 wk ahead cum death","V3_iter","4","Texas",270.974309700099,54.2762374136469,89.3019337609696,0,143.578171174617
2020-08-29,"49","1 wk ahead cum death","V3_iter","4","Utah",1.38807148315499,1.4575220610072,0.116455678209607,0,1.5739777392168
2020-08-29,"50","1 wk ahead cum death","V3_iter","4","Vermont",0.1010310799387,0.113104532925763,0,0.0126790918151433,0.125783624740907
2020-08-29,"51","1 wk ahead cum death","V3_iter","4","Virginia",42.54072879468,5.61829782636449,19.0335239984756,0,24.6518218248401
2020-08-29,"53","1 wk ahead cum death","V3_iter","4","Washington",37.73412760781,4.980758421028,0,17.964108652123,22.944867073151
2020-08-29,"54","1 wk ahead cum death","V3_iter","4","West Virginia",18.343529792412,1.49035999370176,10.731062125973,0,12.2214221196747
2020-08-29,"55","1 wk ahead cum death","V3_iter","4","Wisconsin",55.5538591009299,2.56394016413893,42.664668867763,0,45.228609031902
2020-08-29,"56","1 wk ahead cum death","V3_iter","4","Wyoming",6.2975816450057,0.752297505744999,0,3.47248813895601,4.22478564470101
2020-08-29,"US","1 wk ahead cum death","V3_iter","4","US",424.852960332995,168.601924070686,80.1970456288267,0,248.798969699513
2020-09-05,"01","1 wk ahead cum death","V3_iter","4","Alabama",18.8389068879901,4.78963537943898,0,5.30842841553609,10.0980637949751
2020-09-05,"02","1 wk ahead cum death","V3_iter","4","Alaska",0.381993760282697,0.290689525219372,0,0.0517581222051081,0.34244764742448
2020-09-05,"04","1 wk ahead cum death","V3_iter","4","Arizona",23.63491572167,9.22426095263038,0,4.79421960269009,14.0184805553205
2020-09-05,"05","1 wk ahead cum death","V3_iter","4","Arkansas",2.68135113981202,2.94599794507392,0.176703415837309,0,3.12270136091123
2020-09-05,"06","1 wk ahead cum death","V3_iter","4","California",125.3617705697,30.556209174527,36.656044389613,0,67.21225356414
2020-09-05,"08","1 wk ahead cum death","V3_iter","4","Colorado",8.73616471114997,2.80498827589095,2.11881323265175,0,4.9238015085427
2020-09-05,"09","1 wk ahead cum death","V3_iter","4","Connecticut",2.54111632170043,3.62905758601913,0.20540360301655,0,3.83446118903568
2020-09-05,"10","1 wk ahead cum death","V3_iter","4","Delaware",1.16107853787798,1.933796176116,0.0610306008519155,0,1.99482677696791
2020-09-05,"12","1 wk ahead cum death","V3_iter","4","Florida",6.59313566220044,15.3969695369287,0.333239555052268,0,15.730209091981
2020-09-05,"13","1 wk ahead cum death","V3_iter","4","Georgia",67.8793610632101,13.4935922869223,0,23.1624201192309,36.6560124061533
2020-09-05,"15","1 wk ahead cum death","V3_iter","4","Hawaii",7.7935812124846,1.1518710594873,3.13634089854999,0,4.28821195803729
2020-09-05,"16","1 wk ahead cum death","V3_iter","4","Idaho",31.38751800996,1.26263677343641,0,25.3853144889217,26.6479512623582
2020-09-05,"17","1 wk ahead cum death","V3_iter","4","Illinois",39.6373612585794,10.2458659020841,11.4383278572939,0,21.684193759378
2020-09-05,"18","1 wk ahead cum death","V3_iter","4","Indiana",11.05399760196,4.40729621725164,2.44315390979567,0,6.85045012704731
2020-09-05,"19","1 wk ahead cum death","V3_iter","4","Iowa",10.30143399233,3.18987091502819,0,2.31608843369172,5.50595934871992
2020-09-05,"20","1 wk ahead cum death","V3_iter","4","Kansas",7.217844873057,1.65269409402086,2.17279624928492,0,3.82549034330577
2020-09-05,"21","1 wk ahead cum death","V3_iter","4","Kentucky",20.156472015658,2.6121852624473,9.42942716564139,0,12.0416124280887
2020-09-05,"22","1 wk ahead cum death","V3_iter","4","Louisiana",61.48848413818,6.04436256978526,0,33.5790575655113,39.6234201352966
2020-09-05,"23","1 wk ahead cum death","V3_iter","4","Maine",0.718391849406004,0.36920877268994,0.115544980869044,0,0.484753753558984
2020-09-05,"24","1 wk ahead cum death","V3_iter","4","Maryland",4.57501471755995,3.60979359124207,0,0.557372959478234,4.16716655072031
2020-09-05,"25","1 wk ahead cum death","V3_iter","4","Massachusetts",24.6116204615901,9.98758651904739,0,5.58747843073782,15.5750649497852
2020-09-05,"26","1 wk ahead cum death","V3_iter","4","Michigan",25.8234519069001,5.39869115639246,9.7684739489635,0,15.167165105356
2020-09-05,"27","1 wk ahead cum death","V3_iter","4","Minnesota",12.6905751839499,5.06664070178605,0,2.42220398282914,7.48884468461519
2020-09-05,"28","1 wk ahead cum death","V3_iter","4","Mississippi",55.9168227640998,5.55208718698399,0,30.8018737068339,36.3539608938179
2020-09-05,"29","1 wk ahead cum death","V3_iter","4","Missouri",69.39852565454,4.67455915818852,46.7268368601722,0,51.4013960183607
2020-09-05,"30","1 wk ahead cum death","V3_iter","4","Montana",1.80496988348,0.91493341557373,0,0.280419451816523,1.19535286739025
2020-09-05,"31","1 wk ahead cum death","V3_iter","4","Nebraska",2.04013951031999,1.53052091437625,0,0.216118581241915,1.74663949561817
2020-09-05,"32","1 wk ahead cum death","V3_iter","4","Nevada",10.26372262573,5.16049707318507,0,1.48423032820132,6.64472740138639
2020-09-05,"33","1 wk ahead cum death","V3_iter","4","New Hampshire",2.86510669883597,0.736263426358422,0,0.926591522423646,1.66285494878207
2020-09-05,"34","1 wk ahead cum death","V3_iter","4","New Jersey",48.3129062155003,9.42880870922523,14.2168174440132,0,23.6456261532384
2020-09-05,"35","1 wk ahead cum death","V3_iter","4","New Mexico",7.31135582330796,1.23961531380079,2.853383684748,0,4.09299899854879
2020-09-05,"36","1 wk ahead cum death","V3_iter","4","New York",18.7065668900032,16.593829797601,3.40339813267802,0,19.997227930279
2020-09-05,"37","1 wk ahead cum death","V3_iter","4","North Carolina",43.7170082515099,6.94775029104315,17.5935060988518,0,24.5412563898949
2020-09-05,"38","1 wk ahead cum death","V3_iter","4","North Dakota",6.98367038251101,0.874371713920653,3.23108364768091,0,4.10545536160156
2020-09-05,"39","1 wk ahead cum death","V3_iter","4","Ohio",95.4197307008699,8.4212696600845,0,57.3076243288448,65.7288939889293
2020-09-05,"40","1 wk ahead cum death","V3_iter","4","Oklahoma",25.719314137007,2.5844389828542,0,14.0906060983831,16.6750450812373
2020-09-05,"41","1 wk ahead cum death","V3_iter","4","Oregon",11.009609272976,1.38547603834698,0,5.3242523475654,6.70972838591237
2020-09-05,"42","1 wk ahead cum death","V3_iter","4","Pennsylvania",6.11405759782974,7.55933129724999,0.713117072784766,0,8.27244837003476
2020-09-05,"44","1 wk ahead cum death","V3_iter","4","Rhode Island",7.77991038552,1.31946055287607,3.15755268504172,0,4.47701323791778
2020-09-05,"45","1 wk ahead cum death","V3_iter","4","South Carolina",12.3085404682802,6.50843110890671,0,1.8741455467313,8.38257665563801
2020-09-05,"46","1 wk ahead cum death","V3_iter","4","South Dakota",1.756800842156,1.05389134518718,0,0.232087978500349,1.28597932368753
2020-09-05,"47","1 wk ahead cum death","V3_iter","4","Tennessee",25.2720587654701,5.72376423783838,0,7.99724928238741,13.7210135202258
2020-09-05,"48","1 wk ahead cum death","V3_iter","4","Texas",358.9378555887,45.2722510374435,168.884803819752,0,214.157054857196
2020-09-05,"49","1 wk ahead cum death","V3_iter","4","Utah",7.78636484884998,1.28152047400079,0,3.06788079635312,4.34940127035392
2020-09-05,"50","1 wk ahead cum death","V3_iter","4","Vermont",0.0350781572906982,0.0940407654691137,0,0.00161840173020429,0.095659167199318
2020-09-05,"51","1 wk ahead cum death","V3_iter","4","Virginia",3.98740543583017,7.1958793614124,0.24026749188652,0,7.43614685329892
2020-09-05,"53","1 wk ahead cum death","V3_iter","4","Washington",6.25274027595992,3.74835235486166,0,0.904327116789565,4.65267947165123
2020-09-05,"54","1 wk ahead cum death","V3_iter","4","West Virginia",7.60230437059101,1.35032094188793,0,2.87674952113813,4.22707046302606
2020-09-05,"55","1 wk ahead cum death","V3_iter","4","Wisconsin",59.96613502846,2.68203190832809,47.1711551332843,0,49.8531870416124
2020-09-05,"56","1 wk ahead cum death","V3_iter","4","Wyoming",4.0563914487762,0.328632115030069,2.07282100883057,0,2.40145312386064
2020-09-05,"US","1 wk ahead cum death","V3_iter","4","US",402.031559536001,181.768780732056,76.0674119060884,0,257.836192638144
2020-09-12,"01","1 wk ahead cum death","V3_iter","4","Alabama",34.6192652476998,6.86936316904206,0,12.2404140134835,19.1097771825255
2020-09-12,"02","1 wk ahead cum death","V3_iter","4","Alaska",2.3555551494541,0.457063246306888,0,0.932123321359118,1.38918656766601
2020-09-12,"04","1 wk ahead cum death","V3_iter","4","Arizona",75.9526082232096,10.5475640478768,0,35.0927460125708,45.6403100604476
2020-09-12,"05","1 wk ahead cum death","V3_iter","4","Arkansas",15.562706958774,4.02898566585348,0,4.17058372808618,8.19956939393966
2020-09-12,"06","1 wk ahead cum death","V3_iter","4","California",64.0413777477006,31.9908617996563,0,9.62762555081328,41.6184873504696
2020-09-12,"08","1 wk ahead cum death","V3_iter","4","Colorado",7.90195552762998,2.18105508817227,0,2.15662122866566,4.33767631683793
2020-09-12,"09","1 wk ahead cum death","V3_iter","4","Connecticut",10.1317480080097,1.58693525982949,3.41185965752997,0,4.99879491735946
2020-09-12,"10","1 wk ahead cum death","V3_iter","4","Delaware",0.0310703116509785,1.18328208462387,0,0.00135088311525994,1.18463296773913
2020-09-12,"12","1 wk ahead cum death","V3_iter","4","Florida",149.3395152792,24.3561877584677,56.9402160743391,0,81.2964038328068
2020-09-12,"13","1 wk ahead cum death","V3_iter","4","Georgia",75.9815752054101,16.8879223753491,0,24.0598467752726,40.9477691506218
2020-09-12,"15","1 wk ahead cum death","V3_iter","4","Hawaii",5.483195868018,1.25644886440672,0,1.88127380663406,3.13772267104079
2020-09-12,"16","1 wk ahead cum death","V3_iter","4","Idaho",5.235005146763,1.76714912661956,1.1226763868397,0,2.88982551345927
2020-09-12,"17","1 wk ahead cum death","V3_iter","4","Illinois",7.90587413411959,7.82749694738722,0,0.655430418526125,8.48292736591335
2020-09-12,"18","1 wk ahead cum death","V3_iter","4","Indiana",0.40983570742992,3.83142268831969,0.0178189438013009,0,3.84924163212099
2020-09-12,"19","1 wk ahead cum death","V3_iter","4","Iowa",7.04104478725003,3.64529686404199,0,0.983963317965647,4.62926018200764
2020-09-12,"20","1 wk ahead cum death","V3_iter","4","Kansas",18.521720043372,1.99846298781356,9.37507846504834,0,11.3735414528619
2020-09-12,"21","1 wk ahead cum death","V3_iter","4","Kentucky",2.02147569591989,3.22730434633339,0.108367596399128,0,3.33567194273252
2020-09-12,"22","1 wk ahead cum death","V3_iter","4","Louisiana",0.814029038039735,7.71965774891587,0.0353925668712928,0,7.75505031578717
2020-09-12,"23","1 wk ahead cum death","V3_iter","4","Maine",1.076583995508,0.32003432389813,0,0.285425222781391,0.605459546679521
2020-09-12,"24","1 wk ahead cum death","V3_iter","4","Maryland",3.41334345781979,2.82229112360163,0,0.349266796207817,3.17155791980944
2020-09-12,"25","1 wk ahead cum death","V3_iter","4","Massachusetts",4.11142293458943,6.26110440858876,0.238799787307352,0,6.49990419589611
2020-09-12,"26","1 wk ahead cum death","V3_iter","4","Michigan",43.9129676829898,4.58145250873903,22.4051989665995,0,26.9866514753386
2020-09-12,"27","1 wk ahead cum death","V3_iter","4","Minnesota",12.64490053552,3.76343995843521,3.0349533946139,0,6.79839335304911
2020-09-12,"28","1 wk ahead cum death","V3_iter","4","Mississippi",17.3753830927499,6.78027987521178,0,3.39534873201869,10.1756286072305
